Region,flow,type,area,material,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1,inflow,detached,rural,steel,2.31E+00,2.31E+00,2.31E+00,2.31E+00,2.31E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.33E+00,2.33E+00,2.33E+00,2.33E+00,2.33E+00,2.34E+00,2.34E+00,2.34E+00,2.34E+00,2.34E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.361792733,2.361792733,2.361792733,2.361792733,2.361792733,2.369755321
2,inflow,detached,rural,steel,2.31E+00,2.31E+00,2.31E+00,2.31E+00,2.31E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.33E+00,2.33E+00,2.33E+00,2.33E+00,2.33E+00,2.34E+00,2.34E+00,2.34E+00,2.34E+00,2.34E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.361792733,2.361792733,2.361792733,2.361792733,2.361792733,2.369755321
3,inflow,detached,rural,steel,2.31E+00,2.31E+00,2.31E+00,2.31E+00,2.31E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.33E+00,2.33E+00,2.33E+00,2.33E+00,2.33E+00,2.34E+00,2.34E+00,2.34E+00,2.34E+00,2.34E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.361792733,2.361792733,2.361792733,2.361792733,2.361792733,2.369755321
4,inflow,detached,rural,steel,2.31E+00,2.31E+00,2.31E+00,2.31E+00,2.31E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.33E+00,2.33E+00,2.33E+00,2.33E+00,2.33E+00,2.34E+00,2.34E+00,2.34E+00,2.34E+00,2.34E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.361792733,2.361792733,2.361792733,2.361792733,2.361792733,2.369755321
5,inflow,detached,rural,steel,2.31E+00,2.31E+00,2.31E+00,2.31E+00,2.31E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.33E+00,2.33E+00,2.33E+00,2.33E+00,2.33E+00,2.34E+00,2.34E+00,2.34E+00,2.34E+00,2.34E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.361792733,2.361792733,2.361792733,2.361792733,2.361792733,2.369755321
6,inflow,detached,rural,steel,2.31E+00,2.31E+00,2.31E+00,2.31E+00,2.31E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.33E+00,2.33E+00,2.33E+00,2.33E+00,2.33E+00,2.34E+00,2.34E+00,2.34E+00,2.34E+00,2.34E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.361792733,2.361792733,2.361792733,2.361792733,2.361792733,2.369755321
7,inflow,detached,rural,steel,2.31E+00,2.31E+00,2.31E+00,2.31E+00,2.31E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.33E+00,2.33E+00,2.33E+00,2.33E+00,2.33E+00,2.34E+00,2.34E+00,2.34E+00,2.34E+00,2.34E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.361792733,2.361792733,2.361792733,2.361792733,2.361792733,2.369755321
8,inflow,detached,rural,steel,2.31E+00,2.31E+00,2.31E+00,2.31E+00,2.31E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.33E+00,2.33E+00,2.33E+00,2.33E+00,2.33E+00,2.34E+00,2.34E+00,2.34E+00,2.34E+00,2.34E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.361792733,2.361792733,2.361792733,2.361792733,2.361792733,2.369755321
9,inflow,detached,rural,steel,2.31E+00,2.31E+00,2.31E+00,2.31E+00,2.31E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.33E+00,2.33E+00,2.33E+00,2.33E+00,2.33E+00,2.34E+00,2.34E+00,2.34E+00,2.34E+00,2.34E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.361792733,2.361792733,2.361792733,2.361792733,2.361792733,2.369755321
10,inflow,detached,rural,steel,2.31E+00,2.31E+00,2.31E+00,2.31E+00,2.31E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.32E+00,2.33E+00,2.33E+00,2.33E+00,2.33E+00,2.33E+00,2.34E+00,2.34E+00,2.34E+00,2.34E+00,2.34E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.35E+00,2.361792733,2.361792733,2.361792733,2.361792733,2.361792733,2.369755321
